"state,min,max,mean,median,std"
"West Virginia,3.3512932764340753,4.199873916416952,3.9687086272572314,3.9667149373929793,0.09155877837754896"
"Florida,4.756254682148972,5.608838225064212,5.056297284784444,5.0544604157748285,0.17978621537522746"
"Illinois,3.659504093535959,4.376997270976028,4.14318424556292,4.148838492615583,0.11073267847398234"
"Minnesota,3.143150684931507,4.07478896885702,3.765796424264374,3.760575302333048,0.1304950862043422"
"Maryland,3.5084001096960615,4.42503009952911,4.191695277079331,4.209882344285103,0.12466861053426945"
"Rhode Island,3.9146795403467465,4.117819255672089,4.00989235725582,4.004739672517124,0.03879937703337509"
"Idaho,2.2375314372859587,4.884342559396404,4.277189775179526,4.395008160316781,0.3703868237090939"
"New Hampshire,2.619791778146404,3.953706924229452,3.735925134527222,3.789594592786815,0.15304693569166786"
"North Carolina,3.490388885916096,4.807290440389555,4.499032318468387,4.5080850679580475,0.09085691297702188"
"Vermont,2.766893193493151,3.8626438088613013,3.6333441666723023,3.628482181078767,0.09424408421352802"
"Connecticut,3.4873862906678084,4.111813730736301,3.986281561721868,3.9787233117508563,0.05394010318765065"
"Delaware,4.042767083154966,4.305948001391267,4.215267840699952,4.226893260380993,0.045783621122080724"
"New Mexico,3.3963261852525686,6.06615341395548,5.543935339594137,5.534789035744863,0.21019056170557965"
"California,2.728868458369007,6.091166791523973,5.35097971980002,5.366674135809076,0.43844644038508107"
"New Jersey,3.5354191192208906,4.332964335402397,4.084177629680575,4.071786373608733,0.09738642150016394"
"Wisconsin,3.5334191727311643,4.026756140303938,3.80158675038009,3.814610980308219,0.09980889757814669"
"Oregon,1.445989070526541,4.91336452536387,4.2621254788361265,4.334966957405822,0.3686121962723455"
"Nebraska,3.9336930784460615,4.734241224315069,4.401130936601527,4.409019156678082,0.1391746838524394"
"Pennsylvania,3.080109562285959,4.125824727097603,3.829507954708871,3.810608077375856,0.11219905423603138"
"Washington,1.1828109950235446,4.419024574593322,3.700177307145012,3.6905260059931506,0.42264004151277423"
"Louisiana,4.575131434610445,5.148523450877568,4.792203131402672,4.769263029751713,0.12252532472177306"
"Georgia,3.732553309610445,5.0424520414169525,4.73840136571213,4.756254682148972,0.1152876564211308"
"Alabama,4.198873943172089,5.09248481645976,4.683009645495241,4.698216435680651,0.11976256123909838"
"Utah,0.559383570004816,5.5848218107876715,4.977120981416217,4.986413741438356,0.2642918312934299"
"Ohio,3.4473589335402397,4.123821770654966,3.948633247771452,3.951703967786815,0.0885621428892796"
"Texas,3.6144738602311643,6.038131421232877,5.09297565519729,5.037446489726028,0.3274657364528731"
"Colorado,2.4626849448844177,5.521780688142123,4.8723757461252895,4.862328767123287,0.24419256432929834"
"South Carolina,3.457367026969178,4.972402745077055,4.67285023968326,4.662191647046233,0.0690754274900588"
"Oklahoma,4.224893313891267,5.3326492936643834,4.766518760106837,4.74524929098887,0.18653234250874948"
"Tennessee,3.2071944563356163,4.578134364297945,4.382231759732934,4.393008213827055,0.08600446643944334"
"Wyoming,2.1104438677226027,4.934378009952911,4.522029196154851,4.5421095756635275,0.22040104049505924"
"North Dakota,3.5844549309717464,4.15184108786387,3.9107549858529755,3.9116766106592467,0.08822290149615866"
"Kentucky,3.604465766802226,4.444040962114726,4.206731630908425,4.206879414597603,0.09911817844449919"
"Maine,2.148471278360445,3.954706897474315,3.6213468615913227,3.6054684155607877,0.13273902703472681"
"New York,2.6858383387735447,4.157846612799657,3.730293231689885,3.705536975599315,0.13418807861242313"
"Nevada,2.5957780393835614,5.849002702268836,5.153463944920931,5.099490314640411,0.3071586186488718"
"Michigan,2.5967780126284246,3.959709439212329,3.7006905332271294,3.704537002354452,0.11549021545198301"
"Arkansas,3.930690483197774,4.747249237478596,4.538520696224647,4.530101535744863,0.0662077819789878"
"Mississippi,4.398011090004281,5.08848224796661,4.690339556110885,4.707221880351027,0.09066028406040381"
"Missouri,4.012747819456336,4.5190931346318495,4.33545782546623,4.336969913848459,0.08505900669285285"
"Montana,1.4519945954623288,4.548112425085616,4.008550264569075,4.044767029644691,0.18644809431966364"
"Kansas,4.175857502140411,5.148523450877568,4.645712405014171,4.62416423640839,0.18786306306346345"
"Indiana,3.709539878531678,4.323958890732021,4.085767476032077,4.095802787885274,0.09339284538081524"
"South Dakota,3.3132685413099314,4.498079315603596,4.146475700572966,4.133830198523117,0.10582607171786321"
"Massachusetts,3.1321426182577055,4.066783497431507,3.930101029241042,3.940695901113014,0.06965369210398212"
"Virginia,3.4183396430864725,4.509085041202911,4.295903733704904,4.312953499571917,0.10908803574447277"
"Iowa,3.4933918156035957,4.279928630672089,4.082695952423241,4.081794467037671,0.07166185463358905"
"Arizona,2.0914301624036815,6.070153306934931,5.642466544549245,5.64486301369863,0.21897220144653978"
