"state_name,distance_to_grid_km"
"West Virginia,9.557445745287596"
"Florida,10.474448932792491"
"Illinois,9.040897792381864"
"Minnesota,8.23796042922238"
"Maryland,9.697474294717493"
"Rhode Island,9.655365155117384"
"Idaho,7.461695823293119"
"New Hampshire,9.452234012170182"
"North Carolina,9.924393355311821"
"Vermont,9.369771381013798"
"Connecticut,9.607223031409324"
"Delaware,9.744984165973724"
"New Mexico,8.788231991244011"
"California,7.8732658850714285"
"New Jersey,9.670152429409814"
"Wisconsin,8.5917834895138"
"Oregon,7.206131012277762"
"Nebraska,8.419552141064724"
"Pennsylvania,9.45891010872222"
"Washington,6.906109047952582"
"Louisiana,9.804558143613622"
"Georgia,10.019733619990582"
"Alabama,9.853505632952679"
"Utah,8.060571180599505"
"Ohio,9.296035433597288"
"Texas,9.400121484646874"
"Colorado,8.384088807412157"
"South Carolina,10.011513397858215"
"Oklahoma,9.08700404670766"
"Tennessee,9.573652454417745"
"Wyoming,7.921382562881545"
"North Dakota,7.853253901473"
"Kentucky,9.458539741165005"
"Maine,9.39502454729151"
"New York,9.359354173479343"
"Nevada,7.816041338650092"
"Michigan,8.74963726149897"
"Arkansas,9.388869388115863"
"Mississippi,9.72960245756187"
"Missouri,9.056700247718423"
"Montana,7.462912322572412"
"Kansas,8.77003039401362"
"Indiana,9.18715723721775"
"South Dakota,8.133226884620505"
"Massachusetts,9.601398894500548"
"Virginia,9.750956292532681"
"Iowa,8.658998454491622"
"Arizona,8.530496870679016"
