State,Year,CF,CAPEX_$/kW,SEC_kWh_kg,Electricity_$/kWh,Water_$kg,CO2_$kg,Transport_km,C_capex_usd_kg,C_opex_usd_kg,C_repl_usd_kg,C_elec_usd_kg,LCOH_plantgate_$kg,LCOH_Low_$kg,LCOH_Med_$kg,LCOH_High_$kg
Alabama,2022,0.695,580.94,55.0,0.0781,0.0,0.0318,9.9,0.5349,0.2626,0.9858,4.2955,6.1107,6.3131,6.6156,7.0195
Alabama,2030,0.695,197.52,48.8,0.0732,0.0,0.0318,9.9,0.1614,0.0792,0.2974,3.5706,4.1404,4.3429,4.6453,5.0493
Alabama,2040,0.695,161.93,47.14,0.067,0.0,0.0318,9.9,0.1278,0.0627,0.2355,3.1582,3.6161,3.8185,4.121,4.5249
Alabama,2050,0.695,149.24,46.18,0.0608,0.0,0.0318,9.9,0.1154,0.0566,0.2126,2.8092,3.2256,3.4281,3.7306,4.1345
Alabama,2060,0.695,137.54,45.22,0.0547,0.0,0.0318,9.9,0.1041,0.0511,0.1919,2.472,2.8509,3.0534,3.3559,3.7598
Arizona,2022,0.788,671.42,55.0,0.0787,0.001,0.0257,8.5,0.5448,0.2674,0.9797,4.3285,6.1471,6.3492,6.6513,7.0548
Arizona,2030,0.788,228.28,48.8,0.0737,0.001,0.0257,8.5,0.1643,0.0807,0.2955,3.598,4.1653,4.3674,4.6695,5.0729
Arizona,2040,0.788,187.16,47.14,0.0675,0.001,0.0257,8.5,0.1301,0.0639,0.234,3.1824,3.6372,3.8394,4.1415,4.5449
Arizona,2050,0.788,172.48,46.18,0.0613,0.001,0.0257,8.5,0.1175,0.0577,0.2113,2.8307,3.2439,3.4461,3.7482,4.1516
Arizona,2060,0.788,158.96,45.22,0.0551,0.001,0.0257,8.5,0.106,0.0521,0.1907,2.4909,2.8664,3.0686,3.3707,3.7741
Arkansas,2022,0.709,688.77,55.0,0.0639,0.0,0.0188,9.4,0.6213,0.305,0.9859,3.5145,5.4455,5.6479,5.9502,6.354
Arkansas,2030,0.709,234.18,48.8,0.0599,0.0,0.0188,9.4,0.1874,0.092,0.2974,2.9214,3.5171,3.7194,4.0218,4.4255
Arkansas,2040,0.709,191.99,47.14,0.0548,0.0,0.0188,9.4,0.1484,0.0729,0.2355,2.584,3.0596,3.262,3.5643,3.9681
