State,Year,LCOH_plantgate_$kg,LCOH_Low_$kg,LCOH_Med_$kg,LCOH_High_$kg
Alabama,2022,6.1107,6.3131,6.6156,7.0195
Alabama,2030,4.1404,4.3429,4.6453,5.0493
Alabama,2040,3.6161,3.8185,4.121,4.5249
Alabama,2050,3.2256,3.4281,3.7306,4.1345
Alabama,2060,2.8509,3.0534,3.3559,3.7598
Arizona,2022,6.1471,6.3492,6.6513,7.0548
Arizona,2030,4.1653,4.3674,4.6695,5.0729
Arizona,2040,3.6372,3.8394,4.1415,4.5449
Arizona,2050,3.2439,3.4461,3.7482,4.1516
Arizona,2060,2.8664,3.0686,3.3707,3.7741
Arkansas,2022,5.4455,5.6479,5.9502,6.354
Arkansas,2030,3.5171,3.7194,4.0218,4.4255
Arkansas,2040,3.0596,3.262,3.5643,3.9681
Arkansas,2050,2.7297,2.932,3.2344,3.6381
Arkansas,2060,2.4135,2.6159,2.9182,3.322
California,2022,11.8294,12.0314,12.3334,12.7365
California,2030,8.901,9.103,9.4049,9.8081
California,2040,7.8344,8.0364,8.3383,8.7415
California,2050,6.9853,7.1872,7.4892,7.8923
California,2060,6.1674,6.3694,6.6713,7.0745
Colorado,2022,6.8023,7.0044,7.3065,7.7098
Colorado,2030,4.7352,4.9373,5.2394,5.6427
Colorado,2040,4.1425,4.3446,4.6467,5.0501
Colorado,2050,3.6931,3.8952,4.1973,4.6007
Colorado,2060,3.2614,3.4635,3.7656,4.1689
Connecticut,2022,12.479,12.6814,12.9838,13.3877
Connecticut,2030,9.3267,9.5291,9.8315,10.2353
Connecticut,2040,8.1955,8.3979,8.7003,9.1041
Connecticut,2050,7.2973,7.4997,7.8021,8.2059
Connecticut,2060,6.4323,6.6347,6.9371,7.3409
Delaware,2022,6.6354,6.8378,7.1403,7.5442
Delaware,2030,4.5126,4.715,5.0175,5.4214
Delaware,2040,3.939,4.1414,4.4439,4.8478
Delaware,2050,3.5102,3.7126,4.0151,4.419
Delaware,2060,3.0986,3.301,3.6035,4.0074
Florida,2022,6.8117,7.0143,7.3169,7.7211
Florida,2030,4.6892,4.8918,5.1944,5.5986
Florida,2040,4.1036,4.3062,4.6089,5.013
Florida,2050,3.6636,3.8662,4.1688,4.573
Florida,2060,3.2411,3.4437,3.7463,4.1505
