State,Year,CF,CAPEX_$/kW,SEC_kWh_kg,Electricity_$/kWh,Water_$kg,CO2_$kg,Transport_km,C_capex_usd_kg,C_opex_usd_kg,C_repl_usd_kg,C_elec_usd_kg,LCOH_plantgate_$kg,LCOH_Low_$kg,LCOH_Med_$kg,LCOH_High_$kg
Alabama,2022,0.695,1161.87,55.0,0.0781,0.0001,0.008,9.9,1.0698,0.5251,0.0,4.2955,5.8984,6.4034,6.4034,6.4034
Alabama,2030,0.695,197.52,47.0,0.0732,0.0001,0.008,9.9,0.1554,0.0763,0.0,3.4389,3.6786,4.1835,4.1835,4.1835
Alabama,2040,0.695,161.93,45.17,0.067,0.0001,0.008,9.9,0.1225,0.0601,0.0,3.0266,3.2172,3.7221,3.7221,3.7221
Alabama,2050,0.695,149.24,44.25,0.0608,0.0001,0.008,9.9,0.1106,0.0543,0.0,2.6921,2.865,3.3699,3.3699,3.3699
Alabama,2060,0.695,137.54,43.33,0.0547,0.0001,0.008,9.9,0.0998,0.049,0.0,2.369,2.5257,3.0307,3.0307,3.0307
Arizona,2022,0.788,1342.85,55.0,0.0787,0.002,0.0064,8.5,1.0895,0.5349,0.0,4.3285,5.9613,6.4656,6.4656,6.4656
Arizona,2030,0.788,228.28,47.0,0.0737,0.002,0.0064,8.5,0.1583,0.0777,0.0,3.4653,3.7097,4.214,4.214,4.214
Arizona,2040,0.788,187.16,45.17,0.0675,0.002,0.0064,8.5,0.1247,0.0612,0.0,3.0498,3.2442,3.7485,3.7485,3.7485
Arizona,2050,0.788,172.48,44.25,0.0613,0.002,0.0064,8.5,0.1126,0.0553,0.0,2.7128,2.8891,3.3934,3.3934,3.3934
Arizona,2060,0.788,158.96,43.33,0.0551,0.002,0.0064,8.5,0.1016,0.0499,0.0,2.3872,2.5471,3.0513,3.0513,3.0513
Arkansas,2022,0.709,1377.54,55.0,0.0639,0.0001,0.0047,9.4,1.2426,0.61,0.0,3.5145,5.3719,5.8766,5.8766,5.8766
Arkansas,2030,0.709,234.18,47.0,0.0599,0.0001,0.0047,9.4,0.1805,0.0886,0.0,2.8136,3.0875,3.5922,3.5922,3.5922
Arkansas,2040,0.709,191.99,45.17,0.0548,0.0001,0.0047,9.4,0.1422,0.0698,0.0,2.4763,2.6931,3.1978,3.1978,3.1978
Arkansas,2050,0.709,176.94,44.25,0.0498,0.0001,0.0047,9.4,0.1284,0.063,0.0,2.2026,2.3989,2.9036,2.9036,2.9036
Arkansas,2060,0.709,163.07,43.33,0.0447,0.0001,0.0047,9.4,0.1159,0.0569,0.0,1.9382,2.1158,2.6205,2.6205,2.6205
California,2022,0.756,1281.09,55.0,0.1807,0.0,0.0248,7.9,1.0842,0.5323,0.0,9.9385,11.5799,12.0838,12.0838,12.0838
California,2030,0.756,217.79,47.0,0.1693,0.0,0.0248,7.9,0.1575,0.0773,0.0,7.9565,8.2162,8.7201,8.7201,8.7201
California,2040,0.756,178.55,45.17,0.155,0.0,0.0248,7.9,0.1241,0.0609,0.0,7.0026,7.2125,7.7165,7.7165,7.7165
California,2050,0.756,164.55,44.25,0.1408,0.0,0.0248,7.9,0.1121,0.055,0.0,6.2287,6.4207,6.9246,6.9246,6.9246
California,2060,0.756,151.65,43.33,0.1265,0.0,0.0248,7.9,0.1011,0.0496,0.0,5.4811,5.6567,6.1606,6.1606,6.1606
Colorado,2022,0.763,1218.35,55.0,0.0915,0.0002,0.0064,8.4,1.0212,0.5013,0.0,5.0325,6.5616,7.0658,7.0658,7.0658
Colorado,2030,0.763,207.12,47.0,0.0857,0.0002,0.0064,8.4,0.1483,0.0728,0.0,4.0289,4.2567,4.7609,4.7609,4.7609
Colorado,2040,0.763,169.81,45.17,0.0785,0.0002,0.0064,8.4,0.1169,0.0574,0.0,3.5459,3.7268,4.231,4.231,4.231
Colorado,2050,0.763,156.49,44.25,0.0713,0.0002,0.0064,8.4,0.1055,0.0518,0.0,3.154,3.318,3.8222,3.8222,3.8222
Colorado,2060,0.763,144.22,43.33,0.064,0.0002,0.0064,8.4,0.0952,0.0468,0.0,2.7754,2.9241,3.4283,3.4283,3.4283
Connecticut,2022,0.661,1380.5,55.0,0.1907,0.0006,0.0027,9.6,1.3353,0.6555,0.0,10.4885,12.4826,12.9874,12.9874,12.9874
