State,Year,LCOH_plantgate_$kg,LCOH_Low_$kg,LCOH_Med_$kg,LCOH_High_$kg
Alabama,2022,5.8984,6.4034,6.4034,6.4034
Alabama,2030,3.6786,4.1835,4.1835,4.1835
Alabama,2040,3.2172,3.7221,3.7221,3.7221
Alabama,2050,2.865,3.3699,3.3699,3.3699
Alabama,2060,2.5257,3.0307,3.0307,3.0307
Arizona,2022,5.9613,6.4656,6.4656,6.4656
Arizona,2030,3.7097,4.214,4.214,4.214
Arizona,2040,3.2442,3.7485,3.7485,3.7485
Arizona,2050,2.8891,3.3934,3.3934,3.3934
Arizona,2060,2.5471,3.0513,3.0513,3.0513
Arkansas,2022,5.3719,5.8766,5.8766,5.8766
Arkansas,2030,3.0875,3.5922,3.5922,3.5922
Arkansas,2040,2.6931,3.1978,3.1978,3.1978
Arkansas,2050,2.3989,2.9036,2.9036,2.9036
Arkansas,2060,2.1158,2.6205,2.6205,2.6205
California,2022,11.5799,12.0838,12.0838,12.0838
California,2030,8.2162,8.7201,8.7201,8.7201
California,2040,7.2125,7.7165,7.7165,7.7165
California,2050,6.4207,6.9246,6.9246,6.9246
California,2060,5.6567,6.1606,6.1606,6.1606
Colorado,2022,6.5616,7.0658,7.0658,7.0658
Colorado,2030,4.2567,4.7609,4.7609,4.7609
Colorado,2040,3.7268,4.231,4.231,4.231
Colorado,2050,3.318,3.8222,3.8222,3.8222
Colorado,2060,2.9241,3.4283,3.4283,3.4283
Connecticut,2022,12.4826,12.9874,12.9874,12.9874
Connecticut,2030,8.6894,9.1942,9.1942,9.1942
Connecticut,2040,7.6214,8.1262,8.1262,8.1262
Connecticut,2050,6.7825,7.2873,7.2873,7.2873
Connecticut,2060,5.9734,6.4782,6.4782,6.4782
Delaware,2022,6.5573,7.0622,7.0622,7.0622
Delaware,2030,4.0577,4.5626,4.5626,4.5626
Delaware,2040,3.5471,4.052,4.052,4.052
Delaware,2050,3.1581,3.663,3.663,3.663
Delaware,2060,2.7835,3.2884,3.2884,3.2884
Florida,2022,6.6509,7.1561,7.1561,7.1561
Florida,2030,4.1814,4.6867,4.6867,4.6867
Florida,2040,3.6588,4.164,4.164,4.164
Florida,2050,3.259,3.7642,3.7642,3.7642
Florida,2060,2.8739,3.3792,3.3792,3.3792
Georgia,2022,5.4454,5.9505,5.9505,5.9505
Georgia,2030,3.3259,3.8309,3.8309,3.8309
Georgia,2040,2.9072,3.4122,3.4122,3.4122
Georgia,2050,2.5894,3.0944,3.0944,3.0944
Georgia,2060,2.2834,2.7884,2.7884,2.7884
Idaho,2022,5.7863,6.2901,6.2901,6.2901
Idaho,2030,3.5631,4.0668,4.0668,4.0668
Idaho,2040,3.1143,3.618,3.618,3.618
Idaho,2050,2.7728,3.2765,3.2765,3.2765
Idaho,2060,2.4439,2.9476,2.9476,2.9476
Illinois,2022,7.2301,7.7346,7.7346,7.7346
Illinois,2030,4.598,5.1025,5.1025,5.1025
Illinois,2040,4.0241,4.5286,4.5286,4.5286
Illinois,2050,3.5837,4.0882,4.0882,4.0882
Illinois,2060,3.1594,3.664,3.664,3.664
Indiana,2022,6.8295,7.3341,7.3341,7.3341
Indiana,2030,4.2503,4.7549,4.7549,4.7549
Indiana,2040,3.7174,4.2219,4.2219,4.2219
Indiana,2050,3.3108,3.8154,3.8154,3.8154
Indiana,2060,2.9192,3.4238,3.4238,3.4238
Iowa,2022,4.9233,5.4277,5.4277,5.4277
Iowa,2030,2.8968,3.4012,3.4012,3.4012
Iowa,2040,2.5288,3.0332,3.0332,3.0332
Iowa,2050,2.2524,2.7567,2.7567,2.7567
Iowa,2060,1.9864,2.4907,2.4907,2.4907
Kansas,2022,5.912,6.4164,6.4164,6.4164
Kansas,2030,3.6706,4.175,4.175,4.175
Kansas,2040,3.2094,3.7138,3.7138,3.7138
Kansas,2050,2.8577,3.3621,3.3621,3.3621
Kansas,2060,2.519,3.0234,3.0234,3.0234
Kentucky,2022,5.4568,5.9615,5.9615,5.9615
Kentucky,2030,3.2976,3.8023,3.8023,3.8023
Kentucky,2040,2.8813,3.3861,3.3861,3.3861
Kentucky,2050,2.5663,3.0711,3.0711,3.0711
Kentucky,2060,2.2631,2.7678,2.7678,2.7678
Louisiana,2022,5.3982,5.9031,5.9031,5.9031
Louisiana,2030,3.2797,3.7846,3.7846,3.7846
Louisiana,2040,2.8669,3.3718,3.3718,3.3718
Louisiana,2050,2.5541,3.059,3.059,3.059
Louisiana,2060,2.2529,2.7578,2.7578,2.7578
Maine,2022,9.7549,10.2596,10.2596,10.2596
Maine,2030,6.4639,6.9686,6.9686,6.9686
Maine,2040,5.6617,6.1664,6.1664,6.1664
Maine,2050,5.0392,5.5439,5.5439,5.5439
Maine,2060,4.4392,4.9439,4.9439,4.9439
Maryland,2022,7.522,8.0269,8.0269,8.0269
Maryland,2030,4.9204,5.4253,5.4253,5.4253
Maryland,2040,4.3085,4.8134,4.8134,4.8134
Maryland,2050,3.8354,4.3402,4.3402,4.3402
Maryland,2060,3.3794,3.8843,3.8843,3.8843
Massachusetts,2022,12.3498,12.8546,12.8546,12.8546
Massachusetts,2030,8.628,9.1328,9.1328,9.1328
Massachusetts,2040,7.5684,8.0732,8.0732,8.0732
Massachusetts,2050,6.7355,7.2403,7.2403,7.2403
Massachusetts,2060,5.932,6.4368,6.4368,6.4368
Michigan,2022,6.4831,6.9875,6.9875,6.9875
Michigan,2030,4.0259,4.5303,4.5303,4.5303
Michigan,2040,3.5208,4.0251,4.0251,4.0251
Michigan,2050,3.1356,3.64,3.64,3.64
Michigan,2060,2.7648,3.2691,3.2691,3.2691
Minnesota,2022,6.3048,6.8089,6.8089,6.8089
Minnesota,2030,3.9381,4.4422,4.4422,4.4422
Minnesota,2040,3.4441,3.9482,3.9482,3.9482
Minnesota,2050,3.0668,3.5709,3.5709,3.5709
Minnesota,2060,2.7034,3.2075,3.2075,3.2075
Mississippi,2022,5.9308,6.4357,6.4357,6.4357
Mississippi,2030,3.5292,4.0341,4.0341,4.0341
Mississippi,2040,3.0817,3.5866,3.5866,3.5866
Mississippi,2050,2.7445,3.2494,3.2494,3.2494
Mississippi,2060,2.42,2.9249,2.9249,2.9249
Missouri,2022,6.0324,6.537,6.537,6.537
Missouri,2030,3.6445,4.149,4.149,4.149
Missouri,2040,3.1843,3.6889,3.6889,3.6889
Missouri,2050,2.8361,3.3407,3.3407,3.3407
Missouri,2060,2.5009,3.0055,3.0055,3.0055
Montana,2022,5.3887,5.8925,5.8925,5.8925
Montana,2030,3.1095,3.6132,3.6132,3.6132
Montana,2040,2.7124,3.2161,3.2161,3.2161
Montana,2050,2.4157,2.9194,2.9194,2.9194
Montana,2060,2.1303,2.634,2.634,2.634
Nebraska,2022,6.0132,6.5174,6.5174,6.5174
Nebraska,2030,3.7243,4.2285,4.2285,4.2285
Nebraska,2040,3.256,3.7602,3.7602,3.7602
Nebraska,2050,2.8992,3.4034,3.4034,3.4034
Nebraska,2060,2.5555,3.0597,3.0597,3.0597
Nevada,2022,5.5796,6.0835,6.0835,6.0835
Nevada,2030,3.3513,3.8552,3.8552,3.8552
Nevada,2040,2.9272,3.4311,3.4311,3.4311
Nevada,2050,2.6067,3.1106,3.1106,3.1106
Nevada,2060,2.2982,2.8021,2.8021,2.8021
New Hampshire,2022,10.9305,11.4352,11.4352,11.4352
New Hampshire,2030,7.3773,7.8821,7.8821,7.8821
New Hampshire,2040,6.465,6.9697,6.9697,6.9697
New Hampshire,2050,5.7538,6.2586,6.2586,6.2586
New Hampshire,2060,5.0682,5.5729,5.5729,5.5729
New Jersey,2022,9.082,9.5869,9.5869,9.5869
New Jersey,2030,6.0148,6.5196,6.5196,6.5196
New Jersey,2040,5.2689,5.7737,5.7737,5.7737
New Jersey,2050,4.6903,5.1952,5.1952,5.1952
New Jersey,2060,4.1327,4.6375,4.6375,4.6375
New Mexico,2022,5.0751,5.5795,5.5795,5.5795
New Mexico,2030,3.0552,3.5596,3.5596,3.5596
New Mexico,2040,2.6689,3.1733,3.1733,3.1733
New Mexico,2050,2.3768,2.8812,2.8812,2.8812
New Mexico,2060,2.0957,2.6,2.6,2.6
New York,2022,6.707,7.2117,7.2117,7.2117
New York,2030,4.1997,4.7044,4.7044,4.7044
New York,2040,3.6738,4.1784,4.1784,4.1784
