State,Year,CF,CAPEX_$/kW,SEC_kWh_kg,Electricity_$/kWh,Water_$kg,CO2_$kg,Transport_km,C_capex_usd_kg,C_opex_usd_kg,C_repl_usd_kg,C_elec_usd_kg,LCOH_plantgate_$kg,LCOH_Low_$kg,LCOH_Med_$kg,LCOH_High_$kg
Alabama,2022,0.695,2904.68,38.0,0.0781,0.0001,0.008,9.9,1.8478,0.9071,0.0,2.9678,5.7307,5.9331,6.2356,6.6405
Alabama,2030,0.695,302.09,35.2,0.0732,0.0001,0.008,9.9,0.178,0.0874,0.0,2.5755,2.8489,3.0514,3.3538,3.7588
Alabama,2040,0.695,215.91,34.37,0.067,0.0001,0.008,9.9,0.1242,0.061,0.0,2.3028,2.4961,2.6986,3.001,3.4059
Alabama,2050,0.695,198.98,34.0,0.0608,0.0001,0.008,9.9,0.1133,0.0556,0.0,2.0684,2.2453,2.4478,2.7502,3.1552
Alabama,2060,0.695,183.38,34.0,0.0547,0.0001,0.008,9.9,0.1044,0.0512,0.0,1.8588,2.0224,2.2249,2.5274,2.9323
Arizona,2022,0.788,3357.11,38.0,0.0787,0.002,0.0064,8.5,1.8819,0.9238,0.0,2.9906,5.8048,6.0069,6.309,6.7133
Arizona,2030,0.788,349.14,35.2,0.0737,0.002,0.0064,8.5,0.1813,0.089,0.0,2.5953,2.874,3.0761,3.3783,3.7825
Arizona,2040,0.788,249.54,34.37,0.0675,0.002,0.0064,8.5,0.1265,0.0621,0.0,2.3205,2.5176,2.7197,3.0219,3.4261
Arizona,2050,0.788,229.98,34.0,0.0613,0.002,0.0064,8.5,0.1153,0.0566,0.0,2.0843,2.2647,2.4668,2.769,3.1732
Arizona,2060,0.788,211.95,34.0,0.0551,0.002,0.0064,8.5,0.1063,0.0522,0.0,1.8731,2.04,2.2421,2.5442,2.9485
Arkansas,2022,0.709,3443.86,38.0,0.0639,0.0001,0.0047,9.4,2.1463,1.0537,0.0,2.4282,5.633,5.8353,6.1377,6.5424
Arkansas,2030,0.709,358.16,35.2,0.0599,0.0001,0.0047,9.4,0.2068,0.1015,0.0,2.1072,2.4203,2.6226,2.925,3.3297
Arkansas,2040,0.709,255.99,34.37,0.0548,0.0001,0.0047,9.4,0.1443,0.0708,0.0,1.8841,2.1041,2.3064,2.6087,3.0134
Arkansas,2050,0.709,235.92,34.0,0.0498,0.0001,0.0047,9.4,0.1316,0.0646,0.0,1.6923,1.8932,2.0956,2.3979,2.8026
Arkansas,2060,0.709,217.42,34.0,0.0447,0.0001,0.0047,9.4,0.1212,0.0595,0.0,1.5208,1.7063,1.9087,2.211,2.6157
California,2022,0.756,3202.73,38.0,0.1807,0.0,0.0248,7.9,1.8728,0.9194,0.0,6.8666,9.6836,9.8856,10.1876,10.5915
California,2030,0.756,333.08,35.2,0.1693,0.0,0.0248,7.9,0.1804,0.0886,0.0,5.9589,6.2528,6.4547,6.7567,7.1606
California,2040,0.756,238.07,34.37,0.155,0.0,0.0248,7.9,0.1259,0.0618,0.0,5.3281,5.5407,5.7426,6.0446,6.4486
California,2050,0.756,219.4,34.0,0.1408,0.0,0.0248,7.9,0.1148,0.0564,0.0,4.7857,4.9817,5.1837,5.4856,5.8896
California,2060,0.756,202.2,34.0,0.1265,0.0,0.0248,7.9,0.1058,0.0519,0.0,4.3007,4.4833,4.6852,4.9872,5.3911
Colorado,2022,0.763,3045.88,38.0,0.0915,0.0002,0.0064,8.4,1.7638,0.8659,0.0,3.477,6.1134,6.3155,6.6176,7.0218
Colorado,2030,0.763,316.77,35.2,0.0857,0.0002,0.0064,8.4,0.1699,0.0834,0.0,3.0174,3.2774,3.4795,3.7816,4.1858
Colorado,2040,0.763,226.41,34.37,0.0785,0.0002,0.0064,8.4,0.1186,0.0582,0.0,2.698,2.8814,3.0835,3.3856,3.7898
Colorado,2050,0.763,208.66,34.0,0.0713,0.0002,0.0064,8.4,0.1081,0.0531,0.0,2.4233,2.5912,2.7933,3.0954,3.4995
Colorado,2060,0.763,192.3,34.0,0.064,0.0002,0.0064,8.4,0.0996,0.0489,0.0,2.1777,2.3329,2.535,2.8371,3.2413
Connecticut,2022,0.661,3451.26,38.0,0.1907,0.0006,0.0027,9.6,2.3064,1.1322,0.0,7.2466,10.6885,10.8909,11.1933,11.5981
Connecticut,2030,0.661,358.93,35.2,0.1787,0.0006,0.0027,9.6,0.2222,0.1091,0.0,6.2887,6.6233,6.8257,7.1281,7.5329
Connecticut,2040,0.661,256.54,34.37,0.1636,0.0006,0.0027,9.6,0.1551,0.0761,0.0,5.623,5.8575,6.0599,6.3623,6.7671
Connecticut,2050,0.661,236.43,34.0,0.1485,0.0006,0.0027,9.6,0.1414,0.0694,0.0,5.0505,5.2646,5.467,5.7694,6.1742
Connecticut,2060,0.661,217.89,34.0,0.1335,0.0006,0.0027,9.6,0.1303,0.064,0.0,4.5387,4.7362,4.9386,5.241,5.6458
Delaware,2022,0.721,3437.89,38.0,0.0861,0.0013,0.001,9.7,2.1081,1.0349,0.0,3.2718,6.417,6.6194,6.9219,7.3267
Delaware,2030,0.721,357.54,35.2,0.0807,0.0013,0.001,9.7,0.2031,0.0997,0.0,2.8393,3.1443,3.3467,3.6492,4.0541
Delaware,2040,0.721,255.55,34.37,0.0739,0.0013,0.001,9.7,0.1417,0.0696,0.0,2.5387,2.7523,2.9547,3.2571,3.662
Delaware,2050,0.721,235.51,34.0,0.0671,0.0013,0.001,9.7,0.1292,0.0634,0.0,2.2803,2.4752,2.6776,2.98,3.3849
Delaware,2060,0.721,217.05,34.0,0.0603,0.0013,0.001,9.7,0.1191,0.0585,0.0,2.0492,2.2289,2.4314,2.7338,3.1387
Florida,2022,0.745,3418.96,38.0,0.0888,0.0001,0.0171,10.5,2.0271,0.9951,0.0,3.3744,6.4138,6.6164,6.919,7.3243
Florida,2030,0.745,355.57,35.2,0.0832,0.0001,0.0171,10.5,0.1953,0.0959,0.0,2.9283,3.2367,3.4394,3.742,4.1472
Florida,2040,0.745,254.14,34.37,0.0762,0.0001,0.0171,10.5,0.1363,0.0669,0.0,2.6183,2.8388,3.0414,3.344,3.7492
Florida,2050,0.745,234.21,34.0,0.0692,0.0001,0.0171,10.5,0.1242,0.061,0.0,2.3518,2.5543,2.7569,3.0595,3.4648
Florida,2060,0.745,215.85,34.0,0.0622,0.0001,0.0171,10.5,0.1145,0.0562,0.0,2.1134,2.3014,2.504,2.8066,3.2119
Georgia,2022,0.7,2902.56,38.0,0.0701,0.0001,0.0096,10.0,1.8307,0.8987,0.0,2.6638,5.403,5.6055,5.908,6.313
Georgia,2030,0.7,301.87,35.2,0.0657,0.0001,0.0096,10.0,0.1764,0.0866,0.0,2.3117,2.5844,2.7869,3.0894,3.4944
Georgia,2040,0.7,215.75,34.37,0.0601,0.0001,0.0096,10.0,0.1231,0.0604,0.0,2.067,2.2602,2.4627,2.7652,3.1702
Georgia,2050,0.7,198.84,34.0,0.0546,0.0001,0.0096,10.0,0.1122,0.0551,0.0,1.8565,2.0336,2.2361,2.5386,2.9436
Georgia,2060,0.7,183.25,34.0,0.0491,0.0001,0.0096,10.0,0.1034,0.0508,0.0,1.6684,1.8323,2.0348,2.3373,2.7423
Idaho,2022,0.676,2894.77,38.0,0.0755,0.0001,0.0015,7.5,1.891,0.9283,0.0,2.869,5.6899,5.8918,6.1936,6.5974
Idaho,2030,0.676,301.06,35.2,0.0707,0.0001,0.0015,7.5,0.1822,0.0894,0.0,2.4898,2.7629,2.9648,3.2667,3.6704
Idaho,2040,0.676,215.18,34.37,0.0648,0.0001,0.0015,7.5,0.1271,0.0624,0.0,2.2262,2.4173,2.6192,2.921,3.3248
Idaho,2050,0.676,198.31,34.0,0.0588,0.0001,0.0015,7.5,0.1159,0.0569,0.0,1.9996,2.174,2.3758,2.6777,3.0814
Idaho,2060,0.676,182.76,34.0,0.0528,0.0001,0.0015,7.5,0.1068,0.0524,0.0,1.7969,1.9577,2.1596,2.4615,2.8652
Illinois,2022,0.723,3453.75,38.0,0.0981,0.0001,0.014,9.0,2.1092,1.0354,0.0,3.7278,6.8864,7.0887,7.3909,7.7955
Illinois,2030,0.723,359.19,35.2,0.0919,0.0001,0.014,9.0,0.2032,0.0997,0.0,3.235,3.552,3.7543,4.0565,4.461
Illinois,2040,0.723,256.73,34.37,0.0842,0.0001,0.014,9.0,0.1418,0.0696,0.0,2.8926,3.118,3.3203,3.6225,4.0271
Illinois,2050,0.723,236.6,34.0,0.0764,0.0001,0.014,9.0,0.1293,0.0635,0.0,2.5981,2.8049,3.0071,3.3094,3.7139
Illinois,2060,0.723,218.05,34.0,0.0687,0.0001,0.014,9.0,0.1191,0.0585,0.0,2.3348,2.5264,2.7287,3.031,3.4355
