State,Year,LCOH_plantgate_$kg,LCOH_Low_$kg,LCOH_Med_$kg,LCOH_High_$kg
Alabama,2022,5.7307,6.2356,6.2356,6.2356
Alabama,2030,2.8489,3.3538,3.3538,3.3538
Alabama,2040,2.4961,3.001,3.001,3.001
Alabama,2050,2.2453,2.7502,2.7502,2.7502
Alabama,2060,2.0224,2.5274,2.5274,2.5274
Arizona,2022,5.8048,6.309,6.309,6.309
Arizona,2030,2.874,3.3783,3.3783,3.3783
Arizona,2040,2.5176,3.0219,3.0219,3.0219
Arizona,2050,2.2647,2.769,2.769,2.769
Arizona,2060,2.04,2.5442,2.5442,2.5442
Arkansas,2022,5.633,6.1377,6.1377,6.1377
Arkansas,2030,2.4203,2.925,2.925,2.925
Arkansas,2040,2.1041,2.6087,2.6087,2.6087
Arkansas,2050,1.8932,2.3979,2.3979,2.3979
Arkansas,2060,1.7063,2.211,2.211,2.211
California,2022,9.6836,10.1876,10.1876,10.1876
California,2030,6.2528,6.7567,6.7567,6.7567
California,2040,5.5407,6.0446,6.0446,6.0446
California,2050,4.9817,5.4856,5.4856,5.4856
California,2060,4.4833,4.9872,4.9872,4.9872
Colorado,2022,6.1134,6.6176,6.6176,6.6176
Colorado,2030,3.2774,3.7816,3.7816,3.7816
Colorado,2040,2.8814,3.3856,3.3856,3.3856
Colorado,2050,2.5912,3.0954,3.0954,3.0954
Colorado,2060,2.3329,2.8371,2.8371,2.8371
Connecticut,2022,10.6885,11.1933,11.1933,11.1933
Connecticut,2030,6.6233,7.1281,7.1281,7.1281
Connecticut,2040,5.8575,6.3623,6.3623,6.3623
Connecticut,2050,5.2646,5.7694,5.7694,5.7694
Connecticut,2060,4.7362,5.241,5.241,5.241
Delaware,2022,6.417,6.9219,6.9219,6.9219
Delaware,2030,3.1443,3.6492,3.6492,3.6492
Delaware,2040,2.7523,3.2571,3.2571,3.2571
Delaware,2050,2.4752,2.98,2.98,2.98
Delaware,2060,2.2289,2.7338,2.7338,2.7338
Florida,2022,6.4138,6.919,6.919,6.919
Florida,2030,3.2367,3.742,3.742,3.742
Florida,2040,2.8388,3.344,3.344,3.344
Florida,2050,2.5543,3.0595,3.0595,3.0595
Florida,2060,2.3014,2.8066,2.8066,2.8066
Georgia,2022,5.403,5.908,5.908,5.908
Georgia,2030,2.5844,3.0894,3.0894,3.0894
Georgia,2040,2.2602,2.7652,2.7652,2.7652
Georgia,2050,2.0336,2.5386,2.5386,2.5386
Georgia,2060,1.8323,2.3373,2.3373,2.3373
Idaho,2022,5.6899,6.1936,6.1936,6.1936
Idaho,2030,2.7629,3.2667,3.2667,3.2667
Idaho,2040,2.4173,2.921,2.921,2.921
Idaho,2050,2.174,2.6777,2.6777,2.6777
Idaho,2060,1.9577,2.4615,2.4615,2.4615
Illinois,2022,6.8864,7.3909,7.3909,7.3909
Illinois,2030,3.552,4.0565,4.0565,4.0565
Illinois,2040,3.118,3.6225,3.6225,3.6225
Illinois,2050,2.8049,3.3094,3.3094,3.3094
Illinois,2060,2.5264,3.031,3.031,3.031
Indiana,2022,6.6515,7.1561,7.1561,7.1561
Indiana,2030,3.2936,3.7982,3.7982,3.7982
Indiana,2040,2.8855,3.3901,3.3901,3.3901
Indiana,2050,2.596,3.1005,3.1005,3.1005
Indiana,2060,2.3387,2.8432,2.8432,2.8432
Iowa,2022,5.0571,5.5615,5.5615,5.5615
Iowa,2030,2.2628,2.7672,2.7672,2.7672
Iowa,2040,1.9718,2.4761,2.4761,2.4761
Iowa,2050,1.7741,2.2784,2.2784,2.2784
Iowa,2060,1.5987,2.103,2.103,2.103
Kansas,2022,5.7679,6.2723,6.2723,6.2723
Kansas,2030,2.8437,3.3481,3.3481,3.3481
Kansas,2040,2.4902,2.9946,2.9946,2.9946
Kansas,2050,2.2397,2.7441,2.7441,2.7441
Kansas,2060,2.0171,2.5215,2.5215,2.5215
Kentucky,2022,5.4692,5.9739,5.9739,5.9739
Kentucky,2030,2.5661,3.0708,3.0708,3.0708
Kentucky,2040,2.2418,2.7466,2.7466,2.7466
Kentucky,2050,2.017,2.5218,2.5218,2.5218
Kentucky,2060,1.8174,2.3222,2.3222,2.3222
Louisiana,2022,5.3865,5.8914,5.8914,5.8914
Louisiana,2030,2.5517,3.0566,3.0566,3.0566
Louisiana,2040,2.231,2.7359,2.7359,2.7359
Louisiana,2050,2.0079,2.5128,2.5128,2.5128
Louisiana,2060,1.8097,2.3146,2.3146,2.3146
Maine,2022,8.8685,9.3732,9.3732,9.3732
Maine,2030,4.9597,5.4644,5.4644,5.4644
Maine,2040,4.3677,4.8724,4.8724,4.8724
Maine,2050,3.9264,4.4311,4.4311,4.4311
Maine,2060,3.5336,4.0383,4.0383,4.0383
Maryland,2022,6.9418,7.4466,7.4466,7.4466
Maryland,2030,3.783,4.2879,4.2879,4.2879
Maryland,2040,3.3281,3.8329,3.8329,3.8329
Maryland,2050,2.9924,3.4972,3.4972,3.4972
Maryland,2060,2.6936,3.1984,3.1984,3.1984
Massachusetts,2022,10.5265,11.0313,11.0313,11.0313
Massachusetts,2030,6.5737,7.0785,7.0785,7.0785
Massachusetts,2040,5.8155,6.3203,6.3203,6.3203
Massachusetts,2050,5.227,5.7318,5.7318,5.7318
Massachusetts,2060,4.7024,5.2072,5.2072,5.2072
Michigan,2022,6.3278,6.8321,6.8321,6.8321
Michigan,2030,3.1205,3.6249,3.6249,3.6249
Michigan,2040,2.7333,3.2376,3.2376,3.2376
Michigan,2050,2.459,2.9633,2.9633,2.9633
Michigan,2060,2.2152,2.7196,2.7196,2.7196
Minnesota,2022,6.1145,6.6186,6.6186,6.6186
Minnesota,2030,3.0487,3.5528,3.5528,3.5528
Minnesota,2040,2.6713,3.1754,3.1754,3.1754
Minnesota,2050,2.4026,2.9068,2.9068,2.9068
Minnesota,2060,2.1639,2.668,2.668,2.668
Mississippi,2022,6.0284,6.5332,6.5332,6.5332
Mississippi,2030,2.7516,3.2564,3.2564,3.2564
Mississippi,2040,2.4,2.9049,2.9049,2.9049
Mississippi,2050,2.1591,2.664,2.664,2.664
Mississippi,2060,1.9453,2.4501,2.4501,2.4501
Missouri,2022,6.0472,6.5517,6.5517,6.5517
Missouri,2030,2.8359,3.3405,3.3405,3.3405
Missouri,2040,2.4775,2.982,2.982,2.982
Missouri,2050,2.229,2.7335,2.7335,2.7335
Missouri,2060,2.0084,2.5129,2.5129,2.5129
Montana,2022,5.6296,6.1333,6.1333,6.1333
Montana,2030,2.4353,2.939,2.939,2.939
Montana,2040,2.1177,2.6214,2.6214,2.6214
